County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
Clark,Brush Prairie,WA,98606,2021,TESLA,MODEL Y,1,3,0,0,17,271221835,-122.4767202 45.7381698,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011040713
King,Seatac,WA,98148,2023,KIA,EV6,1,3,0,0,33,238238241,-122.3300442 47.4483434,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028500
King,Seattle,WA,98146,2015,NISSAN,LEAF,1,1,84,0,34,245505781,-122.3551826 47.5000521,CITY OF SEATTLEWACITY OF TACOMAWA,53033012100
Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,1,1,266,0,1,127104078,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052009
King,Seattle,WA,98122,2021,HONDA,CLARITY,0,1,47,0,43,262478709,-122.3128637 47.6104992,CITY OF SEATTLEWACITY OF TACOMAWA,53033007503
King,Shoreline,WA,98155,2021,TOYOTA,PRIUS PRIME,0,2,25,0,32,193905995,-122.301507 47.761784,CITY OF SEATTLEWACITY OF TACOMAWA,53033020600
King,Bellevue,WA,98007,2018,TESLA,MODEL 3,1,1,215,0,48,474596510,-122.1436732 47.6157551,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023603
Clark,Vancouver,WA,98686,2022,KIA,EV6,1,3,0,0,49,197509490,-122.626623 45.711724,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011040803
King,Seattle,WA,98103,2024,VOLVO,C40,1,3,0,0,43,267066768,-122.3499053 47.673887,CITY OF SEATTLEWACITY OF TACOMAWA,53033004800
King,Kirkland,WA,98034,2019,TESLA,MODEL 3,1,1,220,0,45,477913306,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033021903
King,Kirkland,WA,98034,2024,MERCEDES-BENZ,EQB-CLASS,1,3,0,0,45,267162542,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022005
King,Redmond,WA,98052,2023,HYUNDAI,IONIQ 5,1,3,0,0,45,255227521,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032323
King,Tukwila,WA,98188,2024,KIA,NIRO,1,3,0,0,11,269007245,-122.29179 47.43473,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028200
King,Bellevue,WA,98006,2023,TESLA,MODEL 3,1,3,0,0,41,236715587,-122.144149 47.560742,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033024904
King,Bellevue,WA,98007,2022,KIA,NIRO,1,3,0,0,48,187314550,-122.1436732 47.6157551,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023603
King,Seattle,WA,98103,2023,VOLKSWAGEN,ID.4,1,3,0,0,36,262058597,-122.3499053 47.673887,CITY OF SEATTLEWACITY OF TACOMAWA,53033002900
King,Seattle,WA,98178,2020,CHEVROLET,BOLT EV,1,1,259,0,37,258934882,-122.2453 47.499708,CITY OF SEATTLEWACITY OF TACOMAWA,53033011902
King,Burien,WA,98146,2024,TESLA,MODEL S,1,3,0,0,34,268802901,-122.3551826 47.5000521,CITY OF SEATTLEWACITY OF TACOMAWA,53033026700
Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,1,3,0,0,21,244062451,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051927
Clark,Vancouver,WA,98684,2023,TESLA,MODEL Y,1,3,0,0,17,258178189,-122.5241377 45.6278995,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011041319
King,Kirkland,WA,98034,2023,TESLA,MODEL Y,1,3,0,0,45,245472223,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022005
Kitsap,Bainbridge Island,WA,98110,2021,VOLKSWAGEN,ID.4,1,3,0,0,23,193706607,-122.5305071 47.6400595,PUGET SOUND ENERGY INC,53035090800
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,0,2,21,0,11,237686830,-122.29179 47.43473,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028200
King,Federal Way,WA,98023,2021,TESLA,MODEL Y,1,3,0,0,30,170298117,-122.3581348 47.3097552,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033030305
Thurston,Olympia,WA,98501,2018,BMW,I3,0,1,97,0,22,185498386,-122.8733203 47.0133209,PUGET SOUND ENERGY INC,53067010700
Kitsap,Bainbridge Island,WA,98110,2016,NISSAN,LEAF,1,1,84,0,23,245285645,-122.5305071 47.6400595,PUGET SOUND ENERGY INC,53035090700
Kitsap,Poulsbo,WA,98370,2018,CHRYSLER,PACIFICA,0,1,33,0,23,214245909,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035940100
Yakima,Yakima,WA,98908,2022,KIA,EV6,1,3,0,0,14,214845242,-120.611068 46.596645,PACIFICORP,53077000903
King,Seattle,WA,98115,2020,TESLA,MODEL 3,1,1,266,0,46,102377789,-122.3008235 47.6862671,CITY OF SEATTLEWACITY OF TACOMAWA,53033002000
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,0,2,21,0,11,238419513,-122.29179 47.43473,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028200
King,Tukwila,WA,98188,2023,CHEVROLET,BOLT EV,1,3,0,0,11,256323224,-122.29179 47.43473,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028200
King,Seattle,WA,98109,2022,TESLA,MODEL 3,1,3,0,0,43,187327955,-122.35022 47.63824,CITY OF SEATTLEWACITY OF TACOMAWA,53033007301
Clark,Vancouver,WA,98683,2022,TESLA,MODEL 3,1,3,0,0,18,190369231,-122.515805 45.604689,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011041329
King,Kent,WA,98030,2023,CHRYSLER,PACIFICA,0,1,32,0,47,267054588,-122.1994204 47.3741045,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029507
King,Burien,WA,98166,2018,CHEVROLET,VOLT,0,1,53,0,34,179640247,-122.3472273 47.4568458,CITY OF SEATTLEWACITY OF TACOMAWA,53033027600
King,Redmond,WA,98052,2023,TESLA,MODEL 3,1,3,0,0,45,240626823,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032321
King,Redmond,WA,98052,2023,VOLVO,XC40,1,3,0,0,45,234908943,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032323
King,Kirkland,WA,98033,2022,TESLA,MODEL Y,1,3,0,0,48,196753630,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022702
King,Kent,WA,98030,2024,TESLA,MODEL Y,1,3,0,0,33,262985796,-122.1994204 47.3741045,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029702
King,Seattle,WA,98109,2023,LEXUS,RZ,1,3,0,0,36,258909430,-122.35022 47.63824,CITY OF SEATTLEWACITY OF TACOMAWA,53033006701
King,Shoreline,WA,98177,2014,FIAT,500,1,1,87,0,32,349736467,-122.3691687 47.7403542,CITY OF SEATTLEWACITY OF TACOMAWA,53033020200
King,Kirkland,WA,98033,2017,CHEVROLET,BOLT EV,1,1,238,0,45,255850605,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022006
King,Seattle,WA,98178,2022,TESLA,MODEL Y,1,3,0,0,37,185638050,-122.2453 47.499708,CITY OF SEATTLEWACITY OF TACOMAWA,53033011902
Snohomish,Lake Stevens,WA,98258,2017,CHEVROLET,BOLT EV,1,1,238,0,44,205192396,-122.0816912 48.0122934,PUGET SOUND ENERGY INC,53061052604
King,Kirkland,WA,98034,2017,CHEVROLET,VOLT,0,1,53,0,45,262236299,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022205
King,Auburn,WA,98092,2020,TESLA,MODEL X,1,1,289,0,47,127300519,-122.1550193 47.2884536,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033031208
King,Kirkland,WA,98034,2022,BMW,X5,0,1,30,0,45,195355079,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033021903
King,Burien,WA,98168,2024,TESLA,MODEL Y,1,3,0,0,33,261082160,-122.297205 47.486649,CITY OF SEATTLEWACITY OF TACOMAWA,53033027400
Clark,Vancouver,WA,98685,2021,VOLVO,XC40,1,3,0,0,18,177888882,-122.688741 45.711311,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011040908
King,Issaquah,WA,98027,2023,TESLA,MODEL 3,1,3,0,0,5,233788607,-122.0402383 47.5276876,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032104
Cowlitz,Kelso,WA,98626,2020,TESLA,MODEL Y,1,1,291,0,19,131566795,-122.8902296 46.1351011,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF COWLITZ COUNTY,53015001200
Clark,Vancouver,WA,98683,2022,TESLA,MODEL Y,1,3,0,0,17,235231930,-122.515805 45.604689,BONNEVILLE POWER ADMINISTRATIONPUD NO 1 OF CLARK COUNTYWA,53011041322
King,Kent,WA,98042,2024,TESLA,MODEL X,1,3,0,0,47,265945291,-122.1145138 47.3581107,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033031708
King,Burien,WA,98146,2024,KIA,EV9,1,3,0,0,34,261031172,-122.3551826 47.5000521,CITY OF SEATTLEWACITY OF TACOMAWA,53033026700
Snohomish,Bothell,WA,98012,2024,FORD,MUSTANG MACH-E,1,3,0,0,44,269834526,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052008
King,Kent,WA,98030,2022,KIA,EV6,1,3,0,0,47,193870974,-122.1994204 47.3741045,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029505
King,Kirkland,WA,98034,2023,GENESIS,GV60,1,3,0,0,45,236369451,-122.2026532 47.7210518,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033021903
King,Burien,WA,98146,2017,CHEVROLET,VOLT,0,1,53,0,34,103340226,-122.3551826 47.5000521,CITY OF SEATTLEWACITY OF TACOMAWA,53033026700
Snohomish,Mukilteo,WA,98275,2024,TESLA,MODEL Y,1,3,0,0,21,265512362,-122.29943 47.912654,PUGET SOUND ENERGY INC,53061042006
King,Bellevue,WA,98006,2023,LUCID,AIR,1,3,0,0,41,240587805,-122.144149 47.560742,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033025007
